id_colaborador,nombre_colaborador,cargo,telefono,activo
COL001,Carlos,GERENTE,6073593672,true
COL002,Diana,DESARROLLADOR,6014175838,true
COL003,Laura,Despachador,6093036026,false
COL004, Pedro ,Desarrollador,6023392786,false
COL005,Ana,Soporte Técnico,6026261882,true
COL006,Juan,Soporte Técnico,6068681234,true
COL007,Diana,GERENTE,6099119690,true
COL008, Ana ,Soporte Técnico,6042215969,true
COL009,Maria,DESARROLLADOR,6029115425,false
COL010,Pedro,SOPORTE TÉCNICO,6028680526,true
0,Juan,,6072118978,true
COL012,Pedro,Soporte Técnico,603688696,true
COL013,Diana,DISEÑADOR,6016063426,false
COL014,Juan,Gerente,6051634920,false
COL015,Luis,Desarrollador,6075268384,true
COL016,Jorge,GERENTE,6070208514,false
COL017, Maria ,Soporte Técnico,6080999162,false
COL018,Diana,Gerente,603927355,true
COL019,Carlos,Gerente,6027954597,true
COL020, Juan ,Soporte Técnico,6079470536,false
COL021, Laura ,Diseñador,6099358361,false
COL022, Sofia ,Despachador,6090617256,false
COL023, Carlos ,Despachador,6015864067,false
COL024,Pedro,Gerente,603371454,false
COL025,Juan,Soporte Técnico,6010429501,false
COL026, Luis ,Soporte Técnico,6018051123,false
COL027, Pedro ,Soporte Técnico,6083749151,false
COL028,Juan,GERENTE,6075682013,true
COL029,Pedro,Despachador,608876432,false
COL030,Jorge,Despachador,601201051,true
COL031,Ana,DESARROLLADOR,6097172779,false
COL032, Diana ,Gerente,6065224535,true
COL033,Diana,Diseñador,6084924561,false
,Pedro,,6053695535,false
COL035,Laura,Gerente,6087048661,false
COL036,Ana,DISEÑADOR,6099622780,true
COL037,Jorge,Soporte Técnico,606726441,false
COL038,Luis,SOPORTE TÉCNICO,6055174153,true
COL039,Maria,Despachador,605877512,true
COL040, Jorge ,Despachador,6034527435,false
COL041,Pedro,DISEÑADOR,6080239724,true
COL042,Laura,DESARROLLADOR,6090706556,false
COL043,Juan,Diseñador,6096698398,true
COL044,Jorge,Diseñador,605843003,false
COL045,Carlos,DISEÑADOR,6095579057,true
COL046,Jorge,Desarrollador,604853096,true
COL047,Jorge,GERENTE,6091588592,true
COL048, Laura ,Diseñador,6016649146,true
COL049,Carlos,Soporte Técnico,607059138,true
COL050, Sofia ,Desarrollador,6010773491,true
COL051, Laura ,Gerente,6088862434,true
COL052,Ana,SOPORTE TÉCNICO,6037900971,false
,Pedro,,6075885786,false
COL054,Pedro,Gerente,6075977594,true
COL055,Carlos,Gerente,6089114252,true
COL056,Carlos,GERENTE,6079562777,false
COL057,Laura,Diseñador,609749356,false
COL058,Carlos,Diseñador,607279975,false
COL059,Ana,Diseñador,6021149581,false
COL060,Diana,DESARROLLADOR,6095029718,true
COL061, Pedro ,Despachador,6036669397,false
COL062,Laura,DESPACHADOR,6040605034,true
,Carlos,,6051506891,false
COL064,Juan,DESARROLLADOR,6027722777,true
COL065,Luis,DISEÑADOR,6018844410,true
COL066, Luis ,Soporte Técnico,6042394658,true
COL067,Laura,Despachador,6027458886,true
COL068,Sofia,Soporte Técnico,6084860699,false
,Diana,,6049008654,false
COL070,Maria,Desarrollador,603571481,false
,Carlos,,6065578636,false
COL072,Pedro,GERENTE,6026448410,false
COL073, Carlos ,Soporte Técnico,6069678530,false
COL074,Laura,Desarrollador,605934772,true
COL075,Sofia,SOPORTE TÉCNICO,6014332621,true
COL076,Juan,Despachador,6065286394,false
COL077,Carlos,Despachador,6042306121,false
COL078,Luis,GERENTE,6051833759,true
COL079,Juan,Despachador,6020359106,false
COL080,Laura,DESARROLLADOR,6052113399,false
,Jorge,,6089151634,false
COL082,Jorge,Despachador,609130701,false
COL083,Sofia,Diseñador,601720357,true
COL084, Sofia ,Diseñador,6034310258,true
COL085, Pedro ,Soporte Técnico,6062916972,true
,Diana,,6082850403,false
COL087,Pedro,SOPORTE TÉCNICO,6066709331,false
COL088,Carlos,Gerente,601527441,false
COL089,Carlos,Desarrollador,6040891984,true
COL090,Ana,Diseñador,601880265,true
0,Maria,,6079991091,false
COL092, Carlos ,Despachador,6081275952,false
,Sofia,,6081732899,true
COL094, Jorge ,Diseñador,6090991621,false
COL095,Carlos,Soporte Técnico,6013494556,false
COL096, Luis ,Desarrollador,6010166740,true
COL097,Jorge,GERENTE,6048605743,false
COL098, Diana ,Despachador,6013034964,true
COL099,Carlos,GERENTE,6018104073,false
COL100,Ana,Despachador,609905044,true
,Sofia,,6038642608,true
COL102, Jorge ,Desarrollador,6029183321,false
,Sofia,,6079337812,false
COL104, Maria ,Soporte Técnico,6081869432,false
COL105,Diana,Diseñador,606431473,false
COL106,Jorge,GERENTE,6074084150,true
COL107,Laura,SOPORTE TÉCNICO,6049912865,true
COL108,Jorge,GERENTE,6035258289,false
COL109,Juan,DESARROLLADOR,6068718266,true
COL110,Ana,Despachador,603894593,false
COL111,Carlos,Gerente,609314140,true
COL112,Laura,DESPACHADOR,6081293153,true
COL113,Luis,Desarrollador,6019172613,false
COL114,Ana,Soporte Técnico,604953373,true
COL115,Pedro,Soporte Técnico,608168400,true
COL116,Jorge,Desarrollador,6074471622,true
COL117,Juan,DESPACHADOR,6031984202,true
COL118,Laura,Despachador,6036080944,true
COL119,Pedro,Gerente,602682150,false
COL120,Juan,GERENTE,6053398321,false
COL121, Carlos ,Soporte Técnico,6069031031,false
COL122,Carlos,DESARROLLADOR,6027601024,true
COL123,Sofia,SOPORTE TÉCNICO,6033683032,true
COL124,Luis,SOPORTE TÉCNICO,6079974755,false
COL125,Jorge,Despachador,603513731,false
COL126,Sofia,Soporte Técnico,602873197,true
COL127,Luis,Desarrollador,604717089,false
COL128,Maria,SOPORTE TÉCNICO,6098426762,false
COL129,Ana,DISEÑADOR,6072082874,false
COL130,Carlos,Gerente,608000175,false
COL131,Diana,DESARROLLADOR,6013092609,false
,Juan,,6066052609,false
COL133, Juan ,Gerente,6024391346,false
COL134,Jorge,Diseñador,606425215,true
,Sofia,,6058063525,false
COL136,Sofia,DESARROLLADOR,6074759170,false
COL137,Diana,Soporte Técnico,6013940484,true
COL138,Ana,Gerente,601693128,true
COL139, Carlos ,Diseñador,6063734513,false
COL140,Jorge,Gerente,607939644,true
COL141,Sofia,Diseñador,607663739,true
COL142,Juan,GERENTE,6071004114,false
COL143,Jorge,DISEÑADOR,6017306853,true
0,Diana,,6026562179,false
COL145,Luis,DESPACHADOR,6028342013,true
COL146, Pedro ,Gerente,6019540923,true
COL147,Laura,Desarrollador,607287439,true
COL148, Maria ,Desarrollador,6059243839,false
COL149, Juan ,Gerente,6083944548,false
COL150,Juan,Diseñador,602048460,false
COL151,Maria,Desarrollador,6070238861,false
COL152,Juan,Gerente,609247252,false
COL153,Pedro,GERENTE,6070562968,true
COL154,Ana,Diseñador,608189559,false
COL155,Pedro,Desarrollador,6064742147,true
COL156,Pedro,DISEÑADOR,6066297037,false
COL157,Ana,Soporte Técnico,6030187957,true
0,Diana,,6086446674,true
COL159,Juan,Desarrollador,6076792944,false
COL160,Luis,DISEÑADOR,6084327914,true
COL161,Sofia,Despachador,603508580,false
COL162, Maria ,Gerente,6059866015,true
COL163,Diana,Soporte Técnico,6024186737,false
COL164,Juan,DESPACHADOR,6057429537,true
COL165,Sofia,Soporte Técnico,607071899,true
COL166,Carlos,Soporte Técnico,604320845,false
COL167, Carlos ,Desarrollador,6079306611,false
COL168,Carlos,DISEÑADOR,6098477221,false
COL169,Carlos,Gerente,605149123,false
COL170, Ana ,Soporte Técnico,6050409635,false
COL171,Laura,Desarrollador,602291581,false
,Maria,,6056522114,true
COL173, Luis ,Gerente,6041929961,true
COL174,Ana,DESPACHADOR,6019389989,true
COL175,Pedro,DESARROLLADOR,6050246075,true
COL176,Diana,Desarrollador,605530402,false
COL177,Juan,DESARROLLADOR,6088106726,true
COL178,Luis,DISEÑADOR,6026639866,true
COL179,Carlos,Soporte Técnico,6088065077,false
COL180,Laura,DESARROLLADOR,6070544440,false
COL181,Luis,Diseñador,6075060975,true
COL182, Ana ,Soporte Técnico,6050982590,true
COL183, Jorge ,Desarrollador,6016211343,false
COL184, Jorge ,Desarrollador,6085209996,true
COL185,Juan,Gerente,6096560276,true
COL186,Jorge,DESPACHADOR,6027253936,false
COL187,Pedro,Soporte Técnico,6094163338,true
,Sofia,,6099040144,false
,Diana,,6069638223,false
COL190, Luis ,Gerente,6016800909,true
COL191, Diana ,Gerente,6076595963,false
,Ana,,6068622075,false
COL193,Pedro,Desarrollador,6045988573,false
COL194, Carlos ,Desarrollador,6033947263,false
COL195,Maria,Desarrollador,6068182652,false
COL196, Sofia ,Gerente,6066328443,false
COL197, Luis ,Diseñador,6034316026,false
COL198,Luis,Gerente,6087751087,true
COL199, Juan ,Despachador,6068834255,true
COL200,Jorge,Despachador,6033301151,true
COL201,Ana,SOPORTE TÉCNICO,6012915992,true
COL202, Carlos ,Despachador,6087299135,false
COL203, Luis ,Gerente,6030092746,true
COL204,Carlos,GERENTE,6065502352,false
COL205,Diana,Diseñador,6052262309,true
COL206, Laura ,Soporte Técnico,6073856755,true
COL207,Juan,DESARROLLADOR,6075849166,false
COL208,Diana,DISEÑADOR,6022210085,true
COL209,Laura,Despachador,6061207995,true
COL210,Carlos,Soporte Técnico,606551552,false
COL211,Carlos,DISEÑADOR,6057892143,true
COL212, Diana ,Gerente,6020284155,false
COL213,Maria,DESARROLLADOR,6088735339,false
COL214,Pedro,Diseñador,602495507,true
COL215,Luis,Despachador,603747458,true
,Laura,,6064094331,true
,Luis,,6094719334,false
COL218,Diana,DESPACHADOR,6076506402,false
0,Pedro,,6075942138,true
COL220,Ana,Soporte Técnico,6068124114,false
COL221,Sofia,SOPORTE TÉCNICO,6016743575,true
COL222, Juan ,Desarrollador,6094952408,true
COL223,Juan,DESARROLLADOR,6095140917,true
COL224, Laura ,Soporte Técnico,6061079176,false
,Juan,,6038682999,false
COL226,Jorge,SOPORTE TÉCNICO,6086522895,false
COL227,Pedro,DESARROLLADOR,6057540628,true
COL228,Jorge,Despachador,6054550523,true
COL229,Jorge,GERENTE,6099870082,true
COL230,Diana,DESPACHADOR,6056829196,false
COL231,Laura,Desarrollador,605746886,false
COL232,Jorge,Desarrollador,609425622,true
COL233,Pedro,GERENTE,6099814318,true
COL234,Maria,DESPACHADOR,6030259894,true
COL235, Luis ,Diseñador,6015434899,false
COL236,Diana,DISEÑADOR,6055751147,true
COL237,Maria,DESPACHADOR,6087368317,true
0,Maria,,6044876982,false
COL239, Diana ,Diseñador,6060233656,false
COL240,Diana,Gerente,608114082,false
COL241,Carlos,Desarrollador,602738910,true
COL242,Sofia,Desarrollador,607190451,true
COL243, Maria ,Soporte Técnico,6060867736,true
COL244,Luis,Despachador,6015747576,true
COL245,Maria,Soporte Técnico,604262427,true
COL246,Pedro,Soporte Técnico,6020544088,false
COL247,Laura,Diseñador,609261823,true
COL248,Jorge,DESPACHADOR,6017288932,true
COL249,Maria,Soporte Técnico,6072328343,true
COL250, Diana ,Despachador,6053939252,false
COL251,Pedro,Despachador,601090296,false
COL252, Pedro ,Soporte Técnico,6053282494,true
COL253,Jorge,Gerente,6041489425,false
COL254,Juan,Desarrollador,6044051697,false
COL255,Jorge,DESARROLLADOR,6086946653,false
COL256,Luis,Despachador,607617574,true
COL257,Juan,Soporte Técnico,6061807490,false
COL258,Diana,Diseñador,6055840410,true
COL259,Maria,DISEÑADOR,6037406677,true
COL260,Pedro,Despachador,6026964461,true
COL261, Ana ,Diseñador,6092030544,true
COL262,Luis,Soporte Técnico,6041207084,false
COL263,Diana,DESPACHADOR,6047551517,true
COL264,Maria,SOPORTE TÉCNICO,6038755621,false
COL265,Juan,DISEÑADOR,6084626213,true
COL266,Maria,Soporte Técnico,6035243222,false
COL267,Diana,Diseñador,605452454,false
COL268,Juan,GERENTE,6095444378,false
COL269,Luis,DESPACHADOR,6067135712,false
,Carlos,,6053528972,false
COL271,Luis,Gerente,6054139271,false
COL272, Carlos ,Despachador,6026050209,true
0,Pedro,,6036125314,false
COL274,Juan,Gerente,6099639047,false
COL275,Diana,SOPORTE TÉCNICO,6043924429,false
COL276,Sofia,GERENTE,6027707193,false
,Pedro,,6072054708,false
COL278, Sofia ,Despachador,6097735033,true
COL279,Diana,Desarrollador,6044520746,true
COL280, Carlos ,Gerente,6065110205,true
COL281,Carlos,DESARROLLADOR,6019305444,false
COL282,Jorge,DISEÑADOR,6022807776,false
COL283,Ana,Gerente,608040413,true
COL284,Carlos,Despachador,604571067,true
COL285,Pedro,DISEÑADOR,6021022811,true
COL286,Pedro,SOPORTE TÉCNICO,6037299997,true
COL287, Juan ,Soporte Técnico,6045770313,false
COL288,Juan,Soporte Técnico,6085964370,true
COL289, Diana ,Soporte Técnico,6075164872,true
COL290,Diana,GERENTE,6056162766,false
COL291, Jorge ,Despachador,6071511793,false
COL292, Juan ,Gerente,6040390006,false
COL293,Diana,Despachador,603155927,false
COL294,Ana,Desarrollador,6014689037,true
COL295, Diana ,Desarrollador,6042244579,true
COL296,Laura,Desarrollador,6053805678,true
COL297, Sofia ,Soporte Técnico,6079362284,false
COL298,Ana,SOPORTE TÉCNICO,6052622621,true
COL299,Sofia,Desarrollador,6051606465,false
COL300, Maria ,Desarrollador,6075521681,true
COL301,Luis,Soporte Técnico,608792971,false
COL302,Ana,DISEÑADOR,6064483296,true
COL303,Luis,Gerente,6048190444,false
COL304,Sofia,Diseñador,6037658437,false
COL305,Luis,GERENTE,6089384239,false
COL306,Sofia,Soporte Técnico,6053416254,true
COL307,Ana,SOPORTE TÉCNICO,6045278415,false
COL308,Juan,DESARROLLADOR,6049441304,true
COL309,Sofia,Desarrollador,6058393338,true
COL310,Laura,Despachador,604917074,true
COL311,Laura,SOPORTE TÉCNICO,6054636053,true
COL312,Jorge,Gerente,6093030867,true
COL313,Carlos,Gerente,6018497712,true
COL314,Luis,DESARROLLADOR,6019206056,false
COL315, Pedro ,Desarrollador,6086558186,true
COL316,Pedro,DISEÑADOR,6089720367,true
COL317,Carlos,Despachador,607946791,false
COL318,Carlos,DESPACHADOR,6099193624,false
COL319,Juan,Desarrollador,6090923022,false
COL320,Sofia,Desarrollador,6088874393,false
COL321,Ana,GERENTE,6026822367,false
COL322,Jorge,DISEÑADOR,6054400930,true
COL323,Laura,Diseñador,6058731334,true
COL324,Maria,Soporte Técnico,6072428963,false
COL325,Carlos,Soporte Técnico,608260248,false
COL326,Sofia,DISEÑADOR,6061364474,true
