id_colaboradora,cargo,cedula,id_oficina
2208.0,desarrollador,1296762101,3055
2069.0,despachador,3144168038,2020
4532.0,diseñador,8628134503,2135
4255.0,soporte técnico,1733508766,2074
4494.0,diseñador,5144852167,2685
4060.0,diseñador,2666812833,2050
3464.0,soporte técnico,3460929725,4685
1538.0,desarrollador,3670426948,1059
2975.0,desarrollador,6569843071,3605
1513.0,despachador,8050443074,3572
3773.0,gerente,3457394498,3137
1234.0,gerente,8355586539,1429
1106.0,gerente,9838995941,1136
1814.0,despachador,3699075872,3029
1668.0,desarrollador,9097544466,3852
1631.0,soporte técnico,5642423016,1549
4423.0,diseñador,8564048491,1246
2865.0,desarrollador,8356991009,3051
3579.0,despachador,8296902708,4450
1143.0,despachador,9073654029,3740
1045.0,diseñador,1825657049,3118
3457.0,despachador,2882801954,3987
3679.0,despachador,7730915378,1587
3170.0,diseñador,7236632388,2761
4301.0,diseñador,4771433119,2304
2639.0,desarrollador,8991705463,3946
4856.0,desarrollador,7539885266,3100
4446.0,despachador,4513360468,4576
4999.0,desarrollador,9535534623,4662
2296.0,despachador,6429629107,3557
1494.0,desarrollador,1194170257,2736
1280.0,soporte técnico,4827010651,2617
4825.0,gerente,2994069571,2366
3920.0,desarrollador,7192363795,3680
1477.0,despachador,7934145867,2533
3520.0,desarrollador,9644826920,4124
3143.0,soporte técnico,1052955596,3545
4669.0,soporte técnico,2686591000,1870
1145.0,soporte técnico,9465372329,4984
2010.0,diseñador,8725766888,4978
3791.0,soporte técnico,3647510327,3205
1806.0,soporte técnico,5715142456,3253
3509.0,despachador,5532533762,4761
4277.0,gerente,7251121353,4175
3391.0,despachador,2204946284,2020
3876.0,soporte técnico,6286014427,2348
2348.0,soporte técnico,5124922221,2698
3895.0,gerente,9058330086,1734
3163.0,gerente,3081495980,4124
4136.0,diseñador,8894709332,4695
2974.0,diseñador,2630964734,2211
2984.0,diseñador,7261332455,1559
2168.0,diseñador,2333910365,4422
1924.0,despachador,5702223779,3385
1834.0,gerente,3125730813,2491
1016.0,desarrollador,7025940612,4451
2452.0,despachador,9225450660,3384
1977.0,diseñador,9976335226,1806
1841.0,diseñador,6338330882,1853
4095.0,despachador,4933762130,2887
4641.0,despachador,1214011124,2664
4066.0,diseñador,2575070591,4640
4694.0,diseñador,6086175105,4099
2860.0,despachador,1321175584,3800
3701.0,gerente,7943814616,4573
1865.0,despachador,2865883892,3396
1667.0,soporte técnico,9081832302,4324
4453.0,soporte técnico,3170842837,4392
2847.0,desarrollador,7750303956,2753
2180.0,soporte técnico,1083545178,3508
4178.0,soporte técnico,8144927157,4917
3604.0,despachador,8360031136,4350
4166.0,desarrollador,1810086084,1360
1545.0,soporte técnico,2917852637,3784
1749.0,gerente,1209098332,1985
4490.0,desarrollador,4740590065,2195
2128.0,desarrollador,7268117434,2487
4333.0,desarrollador,8248694849,3101
3501.0,diseñador,1521950777,1336
1641.0,soporte técnico,5695454659,4223
4111.0,desarrollador,4863546684,3748
4636.0,gerente,9997758227,2017
1903.0,despachador,6295706399,2750
1570.0,gerente,5585981982,4461
3556.0,despachador,2396705766,4177
4172.0,gerente,3164940355,1256
2963.0,gerente,4764326855,2576
1911.0,despachador,5391699786,1820
2200.0,diseñador,9508272163,2727
3715.0,diseñador,9436901756,2763
3034.0,soporte técnico,9488878340,3441
2818.0,diseñador,5226661894,2433
3659.0,despachador,4028297874,4404
